resource_state,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,athlete.id,athlete.resource_state,map.id,map.summary_polyline,map.resource_state,average_cadence,workout_type
2,Evening Workout,0.0,6799,6799,0.0,Workout,Workout,10247999802,2023-11-19T17:29:39Z,2023-11-19T18:29:39Z,(GMT+01:00) Africa/Algiers,3600.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,98.5,125.0,False,True,0.0,0.0,10973797144,10973797144,655a68abfa86b35c2aefa371.fit,False,0,0,False,95198974,1,a10247999802,,2,,
2,Afternoon Walk,9051.0,6389,7895,276.2,Walk,Walk,10248000169,2023-11-19T14:32:05Z,2023-11-19T15:32:05Z,(GMT+01:00) Europe/Bratislava,3600.0,,,,0,0,0,2,0,False,False,False,False,everyone,False,,"[48.22242242284119, 17.14850560761988]","[48.21056320331991, 17.15645601041615]",1.417,4.4,True,103.6,126.0,False,True,508.7,148.4,10973797491,10973797491,655a68a2095d8b4a2c99fb01.fit,False,0,4,False,95198974,1,a10248000169,ktieH}etgBKPSr@KLUl@INId@KT[vAg@|AIFMV]ZGRQ\k@b@Od@AVWTQ^QV]No@r@OVi@RSP]|@SJQ\]d@c@jAGTe@dAEVOXUVSj@KLaAr@Wj@_A~@IXMRK\C@@\G@i@z@Yr@GZQXKZQXAH@JF?AEOr@i@hACVM\SPs@B[TWBMNOB]SIA?KCC_@UYGAIMESSi@QMQQG{@{@o@a@_@GMIS@OEq@?KDg@I[N?EOOaAYSFcA?cAGYQSSQ][{@CSKWEUMU?[Kg@Ma@?UG[K_BSWSoASW[Ke@e@y@YaAk@[a@Ug@OIYc@s@WBIQIKSSSOFw@UUAQDa@Us@UkAEo@Ds@CYB}@`@i@b@KBo@r@SLMPsBzAYJoALcAQu@Cg@Qy@?u@Mu@CeAWg@?mBU_DMyBSg@B[IM@_@K{@GsAAeEUcAMmAc@C??JGNCIFEGCJBAEABDQGBFA?DC@@ENOcBn@n@OBHPEk@Rh@WX[FAGEDAz@n@p@XhBDrANn@EdBPzBLXAp@LfBJdALfA@hAJfADz@An@R~@D\GPNr@?PP^AFDn@HXSLDZCh@YXYt@a@j@g@j@[Z_@~AiAPGd@FtAAPFd@GVHVILDNTn@Ab@Tf@Cb@V\f@RHPPLTd@j@ZRN`@Z^NFf@APd@TBXR^EVVPh@f@fAHlABHPVV`BDbBRv@d@~@AJBJZLXRPDl@EDCd@Nb@Fb@St@Pj@MJLDRD@x@]ELDJb@?VGXPp@|@RDf@h@ZLf@XREJBTRNT^JBNN?h@LZMV?TEFBNORi@Xa@Zq@l@qBLWh@eBHMD_@\q@Da@DU~@s@BC?ERGZs@p@w@Fc@Zs@XON[LEZ_@Pe@TYPa@T_AHUH]RUHU`AqAdAw@b@QHMTMN_@X_@HQl@gAHc@p@e@RWDMB]Zy@Jo@B]Rw@Ho@Ne@Za@FWt@e@bAOl@Al@WPOTI^_@`@Gd@Ud@MZ?TK~@Gv@Sd@[hAg@v@m@v@a@fAGr@Ux@IpAWjAE`AUnAGXGXBb@LdA?ZITYp@c@P[VMl@e@Xw@RWh@e@\GVD`@WZAZOXUl@SJBJRfAHbA}@lAu@d@OHc@f@[Bg@Za@PKDIBm@NYHe@V[FMD]DUR[`@MJO,2,57.7,
2,Afternoon Walk,2344.0,2159,4474,45.6,Walk,Walk,10247997444,2023-11-19T12:03:18Z,2023-11-19T13:03:18Z,(GMT+01:00) Europe/Bratislava,3600.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[48.158329613506794, 17.063916781917214]","[48.15835836343467, 17.064510388299823]",1.086,6.0,True,105.8,132.0,False,True,210.2,172.6,10973794633,10973794633,655a688610ab1b28658e39e0.fit,False,0,0,False,95198974,1,a10247997444,_i}dH}~cgBEGSm@Wi@Ce@KUG[WeDGYOOCKMQ@CvEeDQFWBINBBPCJ?RYd@UHKHCDBBHHJ\I^[HO\WHSCQ?YBEFALDPKDMHIv@CNUDMT]d@b@Df@CDCC@ECAAB@DHLPLJ`@ENa@l@,2,53.9,
2,Morning Walk,4997.0,4993,6389,106.1,Walk,Walk,10247996732,2023-11-19T09:44:26Z,2023-11-19T10:44:26Z,(GMT+01:00) Europe/Bratislava,3600.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[48.14981762319803, 17.049460764974356]","[48.157881600782275, 17.063753586262465]",1.001,2.6,True,96.8,139.0,False,True,237.3,144.2,10973793858,10973793858,655a687c807fa129b40937aa.fit,False,0,1,False,95198974,1,a10247996732,kp{dH{y`gBSNWFi@GKGU[MKMHQn@IQEEa@Ga@Ls@?[D}@SU?I[WQS?KBULYHk@H[@WKe@@WV[d@IPEPCBCA?JF@IPUSBB@BMWDGD?@@@HGCCGLFEIK?JDBBIGDCCHK?RAG?C?FBBAK?N?G@NBJHBABK?S@GB?AJKNKDHIIVJOKNC?FEBKC@GLB?HQC?IPLUBIGXEDJ]K^FKBIKPJGLYU\PYMTC??ELGBIQTVUQPG@VY@EEI@KCBBR?HEJQJNIJS?[@DFB@DEPIJSFPMBQEIDFCTWNVSBI?DIJKDJGDK?[DNANKPMFFAHIBK@Y@JCPGHMDB?XW@KGI?JCLQNPS?]@NARKNGBLGHO?EEWBVEPK@@CNQ@ECKBIDVGNIHHMAWBRKVDSAQBB?JKPFK?DKJJOEJDGKLN[ENFIABEJ@KGLL]RWZi@NQFCTA^HlA?b@Ef@Mf@Cd@FPLp@Pd@A\Bh@Md@ABIHGBi@EWEaA@mAJmAEkA@[CS?c@JuAAe@Je@AmDF]D_AJOBMIc@KkABu@Hg@Ae@J_@Vq@b@o@Pk@\u@La@Vs@V[Vc@HKfAg@RQX_@z@_@l@e@FIMqCE]O[@a@EkAAmAUaDKaCMq@AmAQ_C?IPMNUDUKy@[wACe@Ju@HEDIROLIF@VKFW?QSLGHi@TCBEECPBZCLIJQBWS]q@[_AEY@CLSTi@Le@Da@Je@Fs@Li@@UAUGQi@m@MIM?cBb@oARoAXqARoB`@qOrE}@Z[FyAb@,2,59.3,
2,Morning Walk,702.0,385,447,0.0,Walk,Walk,10247995344,2023-11-19T07:59:36Z,2023-11-19T08:59:36Z,(GMT+01:00) Europe/Bratislava,3600.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,[],[],1.823,2.8,True,87.3,99.0,False,True,205.3,202.2,10973792546,10973792546,655a686b58c52e72b729a65b.fit,False,0,0,False,95198974,1,a10247995344,,2,57.2,
2,Night Workout,0.0,9561,9561,0.0,Workout,Workout,10247994793,2023-11-18T21:50:43Z,2023-11-18T22:50:43Z,(GMT+01:00) Africa/Algiers,3600.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,95.0,119.0,False,True,0.0,0.0,10973791929,10973791929,655a68602825c22103ef2b32.fit,False,0,1,False,95198974,1,a10247994793,,2,,
2,Night Walk,1180.0,846,1780,16.0,Walk,Walk,10247994262,2023-11-18T20:29:24Z,2023-11-18T21:29:24Z,(GMT+01:00) Europe/Bratislava,3600.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[48.13982396386564, 17.110331235453486]","[48.145616026595235, 17.10378237068653]",1.395,3.0,True,115.1,149.0,False,True,157.0,141.0,10973791377,10973791377,655a6858807fa129b4093752.fit,False,0,0,False,95198974,1,a10247994262,gxydHwtlgBoCSCh@?~@Qr@S\Gh@@VCXQj@OVSj@Op@Qf@EZc@l@a@tDSVMl@INQNKXSJa@f@{@v@,2,60.7,
2,Night Run,5009.0,1411,1422,4.6,Run,Run,10247994124,2023-11-18T20:04:58Z,2023-11-18T21:04:58Z,(GMT+01:00) Europe/Bratislava,3600.0,,,,12,0,0,1,0,False,False,False,False,everyone,False,,"[48.15867838449776, 17.06496804021299]","[48.13974718563259, 17.110499208793044]",3.55,8.6,True,153.7,173.0,False,True,197.7,141.0,10973791256,10973791256,655a685610ab1b28658e3819.fit,False,9,1,False,95198974,1,a10247994124,uz|dH{tdgBb@cAVw@Vc@f@yAdA_C`@kA|@oBNWTU`@w@l@q@RYtCeFHSVw@v@{Aj@sA`@w@d@wAd@cANIXEn@AtBWh@?j@NL@d@AX?d@Ef@?zAFp@@rADf@B~@C|A@v@F`Cf@jBx@n@`@b@`@PHFAHG^{@NQPK\E\IFET_@LMJCL?\Jh@Dd@Jr@Zl@Dp@Tn@Dp@PtAPl@DPCJMLk@LeAp@iHP}BPsADaBDo@RkALsAXiBTiCb@mDdAgKh@iEd@oEbB{NH_ATeAZe@TiATSHOBOHgBG{BJcDZgBTkCVuARoBFYTo@Fi@Bo@BwB\oEPsA?eDN}FCsDL_FHwGHsCCcEFgAAo@@sDIcF?_A,2,88.0,0.0
2,Afternoon Walk,8265.0,5270,5341,31.2,Walk,Walk,10247993778,2023-11-18T15:23:50Z,2023-11-18T16:23:50Z,(GMT+01:00) Europe/Bratislava,3600.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[48.14998718909919, 17.04939840361476]","[48.14574720337987, 17.104278411716223]",1.568,7.2,True,104.0,119.0,False,True,207.1,140.4,10973790782,10973790782,655a684e095d8b4a2c99f8db.fit,False,0,1,False,95198974,1,a10247993778,wc{dH}qagBVuAFq@?WIa@Cm@CCCAUHOAQKQo@EYM]AQJ}BAy@Ea@DkALy@Rc@Nc@Bw@C[BOPa@Da@EOSOIUE_@Q{@ImAMu@G}@?kAGuABWIsAIo@CiBKuAYkCDQFEHERA\SVIb@[HUBEd@Of@c@^UJC\B`@ERKRYIk@KqBFo@Aq@Ce@@a@DW?e@Ea@B_@@aAAq@IyA@_BC_@?yBDs@DWByADa@AUE]B_@Cu@?q@JgBCu@Lm@?YHy@@a@A]DS@}@Aw@?m@Fc@Ao@@m@PcCVkAr@yAj@q@j@Q^EFCZo@DURi@LIVGR@l@b@f@PTFj@Xv@P~@Zh@Db@N\FLBLJPDd@AJI@GJo@NaCFg@Fs@F[f@kFPuCPs@R{BHqAToA?]~@mHLyANkADg@He@VaCJq@`@uCReC^iCVkCPgARaBLaB?a@F_@HgAJYJm@?g@Fi@BqAFYPe@DO?g@TuB@c@F[P]FUVcBBq@N}@D]?YLaA?g@EY?OLWVw@F_ACK@QL_ABi@FUJ_A?g@NsA@a@PkADy@?a@FmAAcBFoAAyACm@JoBLkE@aGHyA?iCDiACeBDQ?MEo@?e@FkACaBEq@@m@AYSw@AYH{CAcBEu@?]E]?cABmAGa@?cAK_AAg@UqAOc@MsBWqA?k@Mw@IcBS{@KQIUEWMWMu@@s@Gk@Fg@?QUgAA_ACKWg@Im@OUEM?MNk@D{@Es@YoACSAwBDOJIBKC]?_@UgAEY@OHk@L]\_@d@{@LKFIn@c@MDOCE@ADMb@Ef@Sl@Or@Eh@ENAV@jACd@[|@Er@?PVtBOj@MPGVc@`As@rAmAjBMZYb@{@nBg@l@c@hAg@p@SNMR{@n@SRe@Rc@TAB?JILCAAIGGQGMGK@CAy@pBOBGCGEIASPSf@?XIZKjB]n@Kn@Wn@UN_@f@QDSVOFKPGVGHGBc@DWHMLYHKJEJ@JJNNf@Jf@R\VbAV^PLL?DHHp@XrALx@BxABPb@jAB^H\PZ,2,61.0,
2,Evening Workout,0.0,3908,3908,0.0,Workout,Workout,10247992659,2023-11-17T19:25:31Z,2023-11-17T20:25:31Z,(GMT+01:00) Africa/Algiers,3600.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,103.3,133.0,False,True,0.0,0.0,10973789758,10973789758,655a6840fa86b35c2aef9ebf.fit,False,0,0,False,95198974,1,a10247992659,,2,,
2,Lunch Run,4128.0,1502,1585,71.7,Run,Run,10247993159,2023-11-17T11:18:14Z,2023-11-17T12:18:14Z,(GMT+01:00) Europe/Bratislava,3600.0,,,,2,0,0,1,0,False,False,False,False,everyone,False,,"[48.15851837396622, 17.06448482349515]","[48.1497535854578, 17.04948641359806]",2.748,8.6,True,153.7,169.0,False,True,205.7,145.3,10973790216,10973790216,655a6842807fa129b4093706.fit,False,0,0,False,95198974,1,a10247993159,g{|dHgsdgBhAiCn@oAbCgG^iAh@qA~@cB`A{A\m@hA{An@cAjAsCLSfAyBv@sBN[LK~BWn@EXBd@LR@j@Af@@f@EdABt@AxBON?p@H`@Ax@Bn@Cx@@~@Hz@RXP^Nz@d@^LPLPFPNPVDP?N_@zAGh@GdAEdFMvBvCxEmBkBKIE@GJEXBXCr@YrAUfED~@?tBEjCCfDEfBNrD?bAGrA?nAE~A@v@OZUTWBk@?UFc@^q@b@Y`@uAr@GFCP?vADd@Bh@DX@n@`@rHHz@DpANlABnALtAFNPL@DAX_@jAAT?pAAdBIAEDBJ?n@OzC@z@IfB@fAEtBIx@,2,82.4,
2,Evening Walk,1098.0,879,6156,16.3,Walk,Walk,10247993014,2023-11-16T18:14:39Z,2023-11-16T19:14:39Z,(GMT+01:00) Europe/Bratislava,3600.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,[],[],1.249,5.0,True,90.5,110.0,False,True,201.8,188.5,10973789894,10973789894,655a68372a1ea050827a1fb6.fit,False,0,0,False,95198974,1,a10247993014,,2,57.9,
2,Afternoon Walk,2024.0,1627,2483,41.3,Walk,Walk,10229785484,2023-11-16T16:30:57Z,2023-11-16T17:30:57Z,(GMT+01:00) Europe/Bratislava,3600.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[48.1538912281394, 17.07226876169443]","[48.158284770324826, 17.064161617308855]",1.244,5.133,True,98.8,136.0,False,True,201.8,167.0,10954884286,10954884286,655654950f6d1c6dc69b4f41.fit,False,0,0,False,95198974,1,a10229785484,}l|dHofegBCFGBW?MBCF@PENUPMVKZSTYt@g@hAU\g@n@O@SW[UG?Wx@g@dAM[WW{@~ARTL@JCDDFPBXC\OX]b@GR,2,56.7,
2,Morning Walk,2361.0,1608,2857,22.2,Walk,Walk,10227138861,2023-11-16T06:57:57Z,2023-11-16T07:57:57Z,(GMT+01:00) Europe/Bratislava,3600.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[48.15870403312147, 17.064448026940227]","[48.1543679907918, 17.072003223001957]",1.468,2.6,True,93.6,116.0,False,True,210.3,167.0,10952129817,10952129817,6555c8d777cabd750516dc09.fit,False,0,0,False,95198974,1,a10227138861,_k}dHagdgBOa@McAO[WMAQADCC?O@B\DJ\HJBADQJG?E?EKIRe@HIXQTETMr@@LIPQZEPBPLb@h@`@j@\HJANKb@OVQBAJFV_AXq@\e@ZAJMJk@RMB[DIDQPSRa@BG?WPSPi@PQJ?XW\a@`@i@FU^m@N_@LON_@,2,62.1,
2,Night Workout,0.0,4671,4671,0.0,Workout,Workout,10225492755,2023-11-15T20:16:02Z,2023-11-15T21:16:02Z,(GMT+01:00) Africa/Algiers,3600.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,92.1,133.0,False,True,0.0,0.0,10950366784,10950366784,65B27F85-2074-470E-AC52-A78A414F6434.fit,False,0,0,False,95198974,1,a10225492755,,2,,
2,Evening Table Tennis,0.0,4686,4686,0.0,Workout,TableTennis,10224847072,2023-11-15T18:15:12Z,2023-11-15T19:15:12Z,(GMT+01:00) Africa/Algiers,3600.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,132.8,153.0,False,True,0.0,0.0,10949705826,10949705826,A462A482-8D42-4CAB-A233-55352ED3D865.fit,False,0,1,False,95198974,1,a10224847072,,2,,
2,Afternoon Walk,1869.0,1472,1885,34.6,Walk,Walk,10224134016,2023-11-15T15:26:39Z,2023-11-15T16:26:39Z,(GMT+01:00) Europe/Bratislava,3600.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[48.15374395810068, 17.071880009025335]","[48.1585088185966, 17.06421601586044]",1.27,3.0,True,92.8,107.0,False,True,201.6,167.0,10948977519,10948977519,655501db88cc30537d17edbc.fit,False,0,0,False,95198974,1,a10224134016,cm|dHofegBMFY\ULIJUj@Yb@IDKRMNQf@Yf@GRQNK@KMYGCKEAGBONeAfCABGQUWDH}@V@VFT?HCPFFJ?JHFLBTCTSf@Kl@EF,2,56.4,
2,Morning Walk,1638.0,1058,1302,4.1,Walk,Walk,10221421376,2023-11-15T08:45:29Z,2023-11-15T09:45:29Z,(GMT+01:00) Europe/Bratislava,3600.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[48.1585952360183, 17.064383989199996]","[48.15397119149566, 17.07213280722499]",1.548,2.8,True,99.7,127.0,False,True,199.3,167.0,10946169082,10946169082,65548a5fc79ebf34aef524e8.fit,False,0,0,False,95198974,1,a10221421376,}z|dHcrdgBLY^OT_@HQLc@NUb@mA`@}@FEVE^e@dAmBZu@DQLWDWXa@`@],2,59.9,
2,Evening Table Tennis,0.0,9447,9447,0.0,Workout,TableTennis,10219506733,2023-11-14T19:33:27Z,2023-11-14T20:33:27Z,(GMT+01:00) Africa/Algiers,3600.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,108.3,163.0,False,True,0.0,0.0,10944180344,10944180344,F9779C0B-674F-46A4-BCCF-6E8EA05CC999.fit,False,0,0,False,95198974,1,a10219506733,,2,,
2,Afternoon Walk,2014.8,1554,2131,69.6,Walk,Walk,10217456293,2023-11-14T15:31:13Z,2023-11-14T16:31:13Z,(GMT+01:00) Europe/Bratislava,3600.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[48.144816644489765, 17.076883669942617]","[48.14999498426914, 17.06312603317201]",1.297,2.492,True,118.5,165.0,False,True,154.4,134.2,10942081721,10942081721,B6862A0A-2131-48F5-9516-3620E08F64E1.fit,False,0,0,False,95198974,1,a10217456293,_uzdHyafgBi@Vi@j@W^i@lADTQd@S|@MfBCn@BpAAvAGr@G`CMzBCR@jAQzCB|BCn@B`ACrABdCCt@?~BAd@HfDKtFAvAD|@?BSFSTKD,2,,
2,Windy canceled 8km + rainy,4006.1,1120,1378,30.6,Run,Run,10217288730,2023-11-14T15:07:41Z,2023-11-14T16:07:41Z,(GMT+01:00) Europe/Bratislava,3600.0,,,,5,0,0,1,0,False,False,False,False,everyone,False,,"[48.158525666221976, 17.064350210130215]","[48.14512090757489, 17.076339181512594]",3.577,8.084,True,173.0,185.0,False,True,199.8,144.4,10941908593,10941908593,15E90844-9B12-4152-9957-FDD862B3E542.fit,False,0,0,False,95198974,1,a10217288730,c{|dHerdgBvAcD^gAjAiCb@gAvBeFxA_C|BeEp@{Ad@mAj@iARk@x@{Af@sA\g@POJGPA|AATBVFn@Fn@K~BCXBtA@l@A`@FxACX?j@CrA?~APVF^F^NRBrAn@b@NbAn@VFLCT_@`@],2,,0.0
2,Morning Walk,1880.4,1053,2799,66.6,Walk,Walk,10215215280,2023-11-14T06:58:54Z,2023-11-14T07:58:54Z,(GMT+01:00) Europe/Bratislava,3600.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[48.15817605704069, 17.064871564507484]","[48.15416246652603, 17.072023171931505]",1.786,5.218,True,107.4,138.0,False,True,220.4,161.4,10939754293,10939754293,BA6413EE-89E2-487A-BA24-75B9EE243DED.fit,False,0,0,False,95198974,1,a10215215280,ae}dHkycgBc@XK?Qk@Ms@I_AKg@GKa@DCCYyAGgAMq@YoAGqAIQWSM]B]FMSb@C@@Dl@l@HBHAJQNo@P[LQ~@Yx@Yb@EPDVNV^`@b@`@XN@RCrA[HIJSV{@Ti@HM\S^q@p@gBVe@d@kABCHBFAZUlA{BRg@Va@Xq@RW,2,,
2,Night Workout,0.0,2107,2107,0.0,Workout,Workout,10208577832,2023-11-12T21:53:23Z,2023-11-12T22:53:23Z,(GMT+01:00) Africa/Algiers,3600.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,73.0,92.0,False,True,0.0,0.0,10932853647,10932853647,6675B0BA-FF1D-4644-B0E5-F96E0512CC5B.fit,False,0,0,False,95198974,1,a10208577832,,2,,
2,Evening Table Tennis,0.0,3968,3968,0.0,Workout,TableTennis,10207730997,2023-11-12T17:42:31Z,2023-11-12T18:42:31Z,(GMT+01:00) Africa/Algiers,3600.0,,,,0,1,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,120.1,150.0,False,True,0.0,0.0,10931970405,10931970405,823C404D-50A1-4BD0-8D09-5142DF165841.fit,False,0,1,False,95198974,1,a10207730997,,2,,
2,Afternoon Walk,4428.0,2861,3359,22.4,Walk,Walk,10207297335,2023-11-12T16:17:24Z,2023-11-12T17:17:24Z,(GMT+01:00) Europe/Bratislava,3600.0,,,,0,1,0,1,0,False,False,False,False,everyone,False,,"[48.13995840959251, 17.0977071672678]","[48.15069118514657, 17.064435202628374]",1.548,13.2,True,101.6,132.0,False,True,154.3,142.5,10931519986,10931519986,6551099307187367d3b14a9b.fit,False,0,0,False,95198974,1,a10207297335,kjydH}|igBCR[r@G~@EPEh@B^Gb@m@xB?RDl@OjAI\ExAQbAEb@S`AA^KZAl@AN[fABf@DNAHKFQGS@LvCGAOJMZEpAIl@Al@Gr@?^GdAGp@KZAb@I`Ae@fDQ~AAp@EHWRe@B[C[@QHMLOjAQfCWzAAr@YpBK^UbBKb@MZa@jBq@`B_@`@_@zAa@p@Wh@UZM^MVGTMXK|@O\W|@MXUZWn@Qp@QXMLYl@MN]TOVSEO@OF}@jAeAz@WZSN_@p@Un@AFFT?FWh@Ol@K`AMzIK~BIx@AtAO|DAr@HnAArAE`@@tCADC@KESAGFCLFvABX@~DFn@Ir@Dj@Cn@U`@KhAMRWt@g@bA[Z_@ZI@]Wi@IIEg@ZORABCADQRC@IFFAE@OABEEJGFKDA@EFEDI`@M?ECQ@CB@AFUAMHO@MFI^EOUHK?AP@BJGFUB?IXC@CE@EEBUSAEJCUXBBNGJOBKBRCJGHKBECGUCRF?HG?KQNB?@EFGD@JFUCNB\NQEBICJ@DOOGABMHRD\A`@@FEPALBn@LPBXCDaAp@q@\{BdAyDzBqBfAOFGAGGk@qC?UBUJUPUrCiB,2,60.3,
